number_publications,number_authors
1,5296
2,1760658
3,585309
4,294306
5,186621
6,128872
7,96292
8,75255
9,60495
10,49207
11,41604
12,35442
13,30593
14,26262
15,23213
16,20462
17,18007
18,16244
19,14710
20,13242
21,12144
22,10926
23,10052
24,9312
25,8388
26,7825
27,7349
28,6825
29,6231
30,5829
31,5373
32,5117
33,4819
34,4607
35,4371
36,4285
37,3839
38,3646
39,3457
40,3288
41,3131
42,2959
43,2895
44,2765
45,2628
46,2564
47,2406
48,2253
49,2231
50,2089
51,2028
52,1978
53,1983
54,1787
55,1794
56,1754
57,1589
58,1585
59,1506
60,1430
61,1441
62,1417
63,1268
64,1288
65,1169
66,1181
67,1191
68,1162
69,1133
70,1082
71,1046
72,1019
73,947
74,949
75,926
76,888
77,945
78,837
79,836
80,846
81,809
82,749
83,778
84,747
85,748
86,683
87,691
88,685
89,626
90,665
91,619
92,597
93,558
94,572
95,549
96,540
97,545
98,532
99,496
100,561
101,494
102,450
103,456
104,450
105,423
106,443
107,416
108,426
109,409
110,401
111,428
112,403
113,350
114,353
115,381
116,378
117,366
118,338
119,329
120,338
121,321
122,330
123,314
124,335
125,325
126,284
127,301
128,287
129,315
130,261
131,297
132,290
133,276
134,269
135,239
136,253
137,233
138,238
139,246
140,244
141,231
142,234
143,216
144,227
145,224
146,238
147,219
148,215
149,206
150,176
151,176
152,197
153,189
154,180
155,190
156,184
157,183
158,160
159,192
160,188
161,164
162,166
163,143
164,161
165,157
166,157
167,162
168,142
169,143
170,156
171,131
172,135
173,130
174,128
175,140
176,123
177,121
178,120
179,124
180,131
181,118
182,110
183,122
184,139
185,107
186,111
187,114
188,111
189,116
190,95
191,98
192,104
193,96
194,94
195,114
196,101
197,93
198,106
199,80
200,83
201,98
202,96
203,95
204,87
205,91
206,97
207,91
208,81
209,79
210,77
211,61
212,77
213,80
214,71
215,77
216,84
217,88
218,66
219,94
220,68
221,61
222,64
223,74
224,58
225,53
226,79
227,56
228,69
229,71
230,64
231,60
232,70
233,56
234,56
235,62
236,75
237,65
238,48
239,58
240,58
241,56
242,52
243,51
244,61
245,62
246,55
247,41
248,44
249,53
250,53
251,64
252,55
